A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
DDA1	1064	1417	1896	1613	345	760	998	1256
DDAH1	57	74	127	68	27	80	85	114
DDAH2	23	23	54	36	7	27	21	27
DDB1	4043	5001	6605	5092	1411	4773	5572	7097
DDB2	1485	1845	2540	1900	365	1036	1304	1871
DDC	1	2	0	4	0	0	5	2
DDC-AS1	0	0	0	0	0	0	0	0
DDHD1	44	95	115	109	57	84	127	157
DDHD2	106	126	227	136	75	175	230	247
DDI1	0	2	0	0	0	0	0	0
DDI2	11	23	36	13	10	42	46	51
DDIAS	1	0	2	2	10	18	7	15
DDIT3	705	868	983	798	128	335	435	549
DDIT4	5474	7397	10234	9234	2365	5648	6696	8740
DDIT4L	1	8	10	13	1	8	2	4
DDN	5	13	26	21	4	4	15	24
DDO	5	7	8	11	0	2	2	1
DDOST	4754	6069	8003	6533	1023	3643	4453	5581
DDR1	48	93	128	112	31	52	67	86
DDR2	0	1	6	3	2	1	0	9
DDRGK1	1390	1903	2413	2092	660	1154	1443	1816
DDT	368	392	641	498	93	290	403	460
DDTL	59	76	102	108	23	56	73	72
DDX1	626	681	959	628	449	818	879	1082
DDX10	383	411	600	359	261	508	551	586
DDX11	383	485	632	563	212	611	700	913
DDX11-AS1	7	19	15	20	3	18	15	21
DDX11L1	1	8	1	6	0	0	1	4
DDX11L10	1	2	2	4	0	0	0	0
DDX11L16	0	0	0	0	0	0	0	0
DDX11L2	114	157	185	148	15	77	87	106
DDX11L5	4	1	5	0	0	0	3	3
DDX11L9	2	2	6	2	0	0	0	1
DDX12P	20	39	43	38	42	78	111	149
DDX17	996	1353	1827	1242	505	1645	1781	2280
DDX18	281	348	485	305	198	498	512	758
DDX19A	881	1347	1445	1329	402	1053	1523	1691
DDX19B	551	772	903	722	201	478	573	746
DDX20	83	105	110	90	48	121	118	197
DDX21	436	663	824	571	343	862	1086	1240
DDX23	1870	2398	2847	2651	890	2353	3070	3802
DDX24	2359	2917	3405	3044	907	2529	3153	3825
DDX25	0	0	0	0	0	0	0	0
DDX26B-AS1	0	0	0	0	0	0	0	0
DDX27	1669	2247	2736	2403	742	1740	2189	2693
DDX28	378	509	680	519	113	342	449	580
DDX31	335	474	612	515	143	423	459	607
DDX39A	958	1350	1747	1528	872	1886	2239	2980
DDX39B	0	0	0	0	0	0	0	0
DDX39B-AS1	0	0	0	0	0	0	0	0
DDX3X	622	654	829	652	371	1135	1191	1571
DDX3Y	53	61	51	40	26	51	77	72
DDX4	0	0	0	0	0	0	0	0
DDX41	1088	1373	1831	1566	399	956	1177	1483
DDX42	1693	2330	2715	2318	807	1881	2163	2918
DDX43	0	1	1	2	0	0	1	1
DDX46	381	393	581	443	402	872	821	1020
DDX47	390	415	576	485	245	574	676	761
DDX49	592	843	1033	984	286	606	843	940
DDX5	3688	4449	6515	4612	1765	4154	4819	5832
DDX50	177	230	261	226	128	209	250	296
DDX51	512	743	930	848	271	626	777	979
DDX52	364	367	455	358	153	345	350	444
DDX53	0	0	0	0	0	0	0	0
DDX54	1533	2152	2937	2807	1066	1765	2287	2713
DDX55	362	452	510	396	165	451	512	621
DDX56	1899	2542	3067	2502	747	2201	2713	3475
DDX58	87	115	150	110	30	79	78	110
DDX59	46	53	94	55	27	53	60	69
DDX6	411	511	652	460	188	467	468	613
DDX60	7	7	13	13	5	14	8	7
DDX60L	68	66	120	75	22	102	76	111
DEAF1	549	743	894	773	167	343	436	637
DEAR	0	0	0	0	0	0	0	0
DEC1	0	1	0	0	0	0	0	0
DECR1	532	597	792	606	169	428	413	555
DECR2	554	709	1004	875	96	310	329	399
DEDD	391	512	594	511	77	321	360	522
DEDD2	1280	1729	2380	2126	258	921	1146	1415
DEF6	0	3	1	0	0	0	2	0
DEF8	998	1495	1879	1658	413	897	1237	1512
DEFA1	0	0	0	0	0	0	0	0
DEFA10P	0	0	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0	0	0
DEFA3	0	0	0	0	0	0	0	0
DEFA4	0	0	0	0	0	1	0	0
DEFA5	0	0	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0	0	0
DEFB1	1	8	5	0	0	0	0	1
DEFB103A	0	0	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0	0	0
DEFB104B	0	0	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0	0	0
DEFB108B	0	0	0	0	0	0	0	0
DEFB109P1	0	0	0	0	0	0	0	0
DEFB109P1B	0	0	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0	0	0
DEFB113	0	0	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0	0	0
DEFB125	0	0	0	0	0	0	1	0
DEFB126	0	0	0	0	0	0	0	0
DEFB127	0	0	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0	0	0
DEFB130	0	0	0	0	0	0	0	0
DEFB131	0	0	0	0	0	0	0	0
DEFB132	0	0	1	0	0	0	0	0
DEFB133	0	0	0	0	0	0	0	0
DEFB134	0	0	0	0	0	0	0	0
DEFB135	0	0	0	0	0	0	0	0
DEFB136	0	0	0	0	0	0	1	0
DEFB4A	0	0	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0	0	0
DEGS1	752	928	1136	1157	227	666	900	1162
DEGS2	5	13	10	11	0	0	1	6
DEK	111	146	178	135	239	376	389	512
DENND1A	542	773	949	898	201	505	728	851
DENND1B	9	21	8	11	2	5	12	15
DENND1C	38	31	38	22	1	14	17	35
DENND2A	9	17	19	17	0	5	5	15
DENND2C	1	7	5	11	0	7	4	7
DENND2D	6	13	18	19	5	3	1	10
DENND3	248	336	451	415	85	296	396	474
DENND4A	14	11	22	24	14	16	19	18
DENND4B	672	916	1118	995	306	695	931	1197
DENND4C	125	196	215	168	44	168	160	250
DENND5A	669	1003	1223	936	225	750	867	1086
DENND5B	228	303	379	300	113	326	419	492
DENND5B-AS1	0	2	1	1	0	1	8	3
DENND6A	26	62	57	33	20	38	56	72
DENND6B	75	96	141	136	25	38	42	62
DENR	291	465	427	416	195	629	696	934
DEPDC1	1	2	2	6	11	40	19	34
DEPDC1-AS1	0	0	0	0	0	0	2	1
DEPDC1B	3	9	12	15	42	83	94	127
DEPDC4	1	3	11	8	0	11	4	2
DEPDC5	87	98	149	86	37	101	112	152
DEPDC7	17	16	37	32	9	12	44	14
DEPTOR	34	32	44	39	3	31	27	43
DERA	283	347	509	418	80	316	395	580
DERL1	564	637	1046	799	200	673	826	1042
DERL2	708	685	1179	848	208	605	545	745
DERL3	0	0	2	0	0	2	0	1
DES	0	5	2	2	0	0	0	2
DESI1	810	997	1357	1035	239	810	908	1182
DESI2	159	258	302	247	102	293	285	390
DET1	154	162	315	174	28	165	173	266
DEXI	483	645	910	741	225	412	551	748
DFFA	606	827	916	818	237	504	602	694
DFFB	30	29	60	42	13	51	77	98
DFNA5	656	906	1143	954	131	467	624	727
DFNB31	73	136	210	193	32	77	76	92
DFNB59	19	15	13	8	0	4	23	12
DGAT1	609	890	1146	1046	216	540	574	811
DGAT2	74	129	148	113	21	90	94	101
DGAT2L6	0	0	0	0	0	0	0	0
DGCR10	2	0	1	0	0	0	2	0
DGCR11	4	11	15	6	2	13	15	16
DGCR14	258	401	582	536	109	230	300	393
DGCR2	659	951	1170	1144	309	679	881	1055
DGCR5	59	85	117	98	29	100	111	141
DGCR6	162	261	305	285	43	95	166	240
DGCR6L	444	632	974	848	203	471	524	614
DGCR8	496	592	790	576	211	500	647	761
DGCR9	23	7	48	24	4	7	36	21
DGKA	535	725	805	765	62	140	98	198
DGKB	0	4	1	0	0	0	0	0
DGKD	1064	1661	1933	1892	514	1241	1701	1954
DGKE	31	60	62	45	29	45	71	77
DGKG	126	170	172	124	49	168	198	262
DGKH	10	40	51	46	16	34	27	40
DGKI	7	0	0	1	1	0	0	0
DGKK	0	0	0	0	0	0	0	0
DGKQ	234	329	492	544	108	177	267	326
DGKZ	742	1133	1378	1204	389	866	1102	1205
DGUOK	806	850	1440	987	239	750	850	999
DGUOK-AS1	16	21	15	19	2	6	30	28
DHCR24	1072	1438	2039	1583	589	1828	2103	2550
DHCR7	2727	3385	4733	3798	818	2545	3207	4011
DHDDS	275	363	478	379	72	265	376	419
DHDH	14	19	21	19	5	2	3	9
DHFR	186	172	284	199	193	773	997	1269
DHFRL1	187	202	322	177	42	126	170	193
DHH	0	0	0	2	0	0	1	1
DHODH	148	185	212	217	68	124	196	215
DHPS	520	624	938	737	146	437	602	720
DHRS1	271	336	469	382	48	162	179	221
DHRS11	134	194	202	204	73	109	190	217
DHRS12	77	102	158	119	17	26	49	62
DHRS13	101	167	153	193	66	124	175	217
DHRS2	25	37	54	54	1	9	11	6
DHRS3	3326	4185	5686	5122	695	1708	2150	2586
DHRS4	343	448	539	521	173	300	355	419
DHRS4-AS1	234	333	449	294	72	213	255	366
DHRS4L1	20	32	38	32	7	19	16	28
DHRS4L2	299	482	541	559	133	239	359	400
DHRS7	744	945	1241	985	260	441	515	565
DHRS7B	285	348	483	419	103	282	282	377
DHRS7C	0	0	0	0	0	0	0	0
DHRS9	1	9	16	7	2	1	2	4
DHRSX	0	6	3	7	2	2	3	7
DHTKD1	321	409	570	400	111	333	400	485
DHX15	240	310	375	306	232	702	634	881
DHX16	3	20	18	26	6	11	37	32
DHX29	100	107	152	128	170	185	192	223
DHX30	1224	1602	2291	2025	463	1286	1709	2216
DHX32	453	513	575	591	171	376	450	695
DHX33	355	537	623	469	200	603	780	892
DHX34	764	1022	1463	1262	353	878	1263	1445
DHX35	128	131	195	183	61	145	159	224
DHX36	74	57	107	74	54	78	88	104
DHX37	1035	1554	1945	1730	447	1218	1589	1919
DHX38	1132	1522	1852	1600	508	1120	1457	1755
DHX40	289	373	497	397	134	345	361	492
DHX57	249	402	538	366	142	443	376	522
DHX58	2	7	1	9	1	3	3	2
DHX8	734	1064	1261	1034	328	990	1106	1367
DHX9	1216	1429	1899	1398	745	1947	2186	2613
DIABLO	942	1007	1558	1295	293	875	934	1237
DIAPH1	924	1281	1602	1322	656	1505	1741	2227
DIAPH2	47	40	75	45	13	39	39	51
DIAPH2-AS1	0	0	0	4	0	1	1	0
DIAPH3	2	11	23	6	63	92	119	146
DIAPH3-AS1	0	0	0	0	0	0	0	0
DIAPH3-AS2	0	0	0	0	0	0	0	0
DICER1	236	271	366	273	88	260	342	425
DICER1-AS1	7	7	10	21	0	10	2	10
DIDO1	491	719	998	854	332	742	906	1293
DIEXF	268	333	578	371	95	351	442	559
DIMT1	80	85	132	87	93	130	86	127
DIO1	0	0	0	0	0	0	0	0
DIO2	192	243	308	236	160	520	632	852
DIO2-AS1	0	0	0	0	0	0	0	0
DIO3	1	0	0	0	0	1	0	0
DIO3OS	3	12	8	19	0	11	11	11
DIP2A	219	295	355	276	100	247	312	488
DIP2A-IT1	0	0	0	0	0	0	0	0
DIP2B	389	548	632	509	211	531	758	803
DIP2C	176	220	226	233	61	235	307	360
DIRAS1	47	57	72	75	5	32	45	43
DIRAS2	2	1	0	0	0	0	1	0
DIRAS3	6	10	7	3	0	12	7	7
DIRC1	0	0	2	0	0	0	0	0
DIRC2	94	79	174	75	51	112	111	126
DIRC3	0	0	0	0	0	0	0	0
DIRC3-AS1	0	0	0	0	0	0	0	0
DIS3	44	54	102	60	32	51	82	101
DIS3L	531	683	859	631	353	771	941	1223
DIS3L2	362	518	654	575	134	289	390	427
DISC1	0	0	0	0	0	1	0	0
DISC1-IT1	0	0	0	0	0	0	0	0
DISC1FP1	0	0	0	0	0	0	0	0
DISC2	0	0	0	0	0	0	0	0
DISP1	97	154	193	118	14	71	58	62
DISP2	63	81	102	100	20	55	58	84
DISP3	7	7	12	1	0	0	1	5
DIXDC1	33	60	62	27	9	55	47	70
DKC1	781	1042	1276	974	610	1380	1605	2066
DKFZP434A062	0	2	0	3	0	0	0	2
DKFZP434H168	0	0	0	0	0	0	1	0
DKFZP434I0714	2	7	2	2	0	4	9	15
DKFZP434K028	3	1	1	2	0	0	0	0
DKFZP434L187	0	0	5	9	0	0	1	3
DKFZP586I1420	15	20	19	7	0	8	6	22
DKFZp434J0226	45	56	89	103	4	27	38	55
DKFZp434L192	0	0	0	0	0	0	0	0
DKFZp451B082	0	0	0	1	0	0	0	0
DKFZp686K1684	0	0	0	0	0	0	0	0
DKFZp779M0652	5	0	1	4	0	1	0	0
DKK1	1004	1357	1997	1700	283	475	675	653
DKK2	0	0	1	0	0	0	0	0
DKK3	271	395	599	395	69	262	283	376
DKK4	0	0	0	0	0	0	0	0
DKKL1	4	23	15	21	0	6	4	11
DLAT	173	284	336	198	115	347	443	581
DLC1	255	323	459	302	124	424	517	630
DLD	325	327	416	292	143	413	391	502
DLEC1	0	0	0	1	1	0	0	0
DLEU1	11	32	49	12	17	62	83	107
DLEU1-AS1	0	0	0	0	0	0	0	0
DLEU2	0	1	0	1	1	1	5	3
DLEU2L	0	0	3	1	0	0	0	2
DLEU7	0	0	0	0	0	0	0	0
DLEU7-AS1	0	0	0	0	0	0	0	0
DLG1	83	100	117	95	41	168	163	164
DLG1-AS1	0	1	1	5	0	0	0	1
DLG2	0	0	0	0	0	0	1	0
DLG3	147	218	354	276	47	119	150	198
DLG3-AS1	0	0	0	0	0	0	0	0
DLG4	246	459	518	421	67	197	244	303
DLG5	828	1170	1619	1313	425	1066	1334	1721
DLG5-AS1	49	36	67	70	21	23	20	65
DLGAP1	0	0	0	1	0	0	0	3
DLGAP1-AS1	208	219	275	219	38	107	152	181
DLGAP1-AS2	11	27	27	30	5	11	8	14
DLGAP1-AS3	8	0	0	1	0	0	0	0
DLGAP1-AS4	0	1	0	0	0	0	0	0
DLGAP1-AS5	0	0	0	0	0	0	0	0
DLGAP2	0	9	1	2	0	0	0	0
DLGAP2-AS1	0	0	0	0	0	0	0	0
DLGAP3	8	6	7	0	0	3	9	3
DLGAP4	1391	1862	2318	1905	286	997	1192	1485
DLGAP4-AS1	0	0	0	0	0	0	1	0
DLGAP5	6	20	24	19	70	177	169	247
DLK1	3	3	5	6	2	3	4	6
DLK2	31	60	63	72	9	30	40	38
DLL1	15	8	12	15	0	3	3	4
DLL3	153	262	371	342	93	151	230	284
DLL4	11	8	22	8	5	16	4	8
DLST	1610	2041	2777	2014	545	1729	2214	2746
DLSTP1	30	39	38	54	16	19	48	29
DLX1	48	28	49	45	12	64	54	78
DLX2	3	13	6	7	2	10	13	16
DLX2-AS1	4	7	1	4	0	0	0	1
DLX3	1	6	0	3	0	2	2	13
DLX4	48	107	130	116	20	53	77	73
DLX5	0	0	0	0	0	0	0	0
DLX6	0	0	0	0	0	0	0	0
DLX6-AS1	0	0	0	0	0	0	0	0
DMAP1	403	541	721	744	155	278	324	476
DMBT1	4	0	2	11	3	5	11	7
DMBT1P1	0	0	0	0	0	0	0	0
DMBX1	4	21	16	12	10	18	25	39
DMC1	1	1	2	1	2	7	9	9
DMD	1	1	1	0	0	0	0	1
DMGDH	0	1	0	0	0	0	0	0
DMKN	625	708	970	764	50	291	355	432
DMP1	1	1	0	0	0	1	0	0
DMPK	1034	1313	1791	1800	454	814	1063	1366
DMRT1	0	0	0	0	0	0	0	0
DMRT2	0	0	1	1	0	0	2	2
DMRT3	1	0	4	0	0	1	0	1
DMRTA1	17	30	35	34	9	30	17	39
DMRTA2	22	41	37	34	11	12	8	21
DMRTB1	0	0	0	0	0	0	0	0
DMRTC1	0	0	0	0	0	0	0	0
DMRTC1B	0	0	0	0	0	0	0	0
DMRTC2	1	0	0	0	0	0	0	0
DMTF1	39	49	97	61	20	112	99	92
DMTN	1204	1621	2053	1872	378	971	1276	1482
DMWD	585	971	1206	1089	231	583	747	916
DMXL1	11	17	48	12	18	52	33	36
DMXL2	79	102	127	93	37	148	142	210
DNA2	3	3	12	6	17	43	46	53
DNAAF1	3	2	5	10	0	0	1	1
DNAAF2	70	120	174	108	42	111	129	144
DNAAF3	66	74	137	96	15	28	55	94
DNAAF5	756	1041	1487	1264	515	1079	1512	1526
DNAH1	36	27	49	44	12	14	14	28
DNAH10	16	18	25	12	0	11	13	17
DNAH11	2	6	11	14	0	6	3	9
DNAH12	0	0	0	1	0	0	0	0
DNAH14	40	54	111	55	24	66	60	60
DNAH17	49	42	64	55	4	13	35	34
DNAH17-AS1	9	22	27	7	6	6	15	18
DNAH2	6	5	18	28	1	11	8	8
DNAH3	4	16	19	23	1	3	6	13
DNAH5	4	10	8	17	3	6	15	8
DNAH6	26	56	34	41	16	34	23	53
DNAH7	9	4	7	1	4	8	0	2
DNAH8	0	3	0	0	0	0	0	0
DNAH9	0	0	1	0	0	0	0	0
DNAI1	1	1	1	0	0	0	0	3
DNAI2	1	0	1	0	0	0	0	0
DNAJA1	3296	4512	5615	4184	1672	3980	4573	5635
DNAJA1P5	0	0	0	0	0	0	0	0
DNAJA2	946	1213	1525	1307	333	1072	1210	1503
DNAJA3	1056	1484	2041	1588	461	1535	1666	2301
DNAJA4	1	2	8	0	0	1	2	3
DNAJB1	3115	4347	5283	4440	1228	3232	4014	4926
DNAJB11	739	1005	1199	1039	223	543	758	837
DNAJB12	1367	1786	2355	1844	439	1153	1479	1924
DNAJB13	4	11	10	5	0	1	5	6
DNAJB14	25	31	47	55	31	57	60	73
DNAJB2	754	1015	1401	1195	223	457	659	735
DNAJB3	0	3	2	0	0	1	0	0
DNAJB4	35	29	37	34	29	38	62	70
DNAJB5	169	243	359	241	19	80	115	155
DNAJB5-AS1	4	1	1	2	0	1	0	0
DNAJB6	890	1022	1666	1131	410	962	1044	1414
DNAJB7	0	0	3	1	0	1	3	3
DNAJB8	0	0	0	0	0	0	0	0
DNAJB8-AS1	0	0	0	0	0	0	0	0
DNAJB9	68	43	82	58	12	45	42	69
DNAJC1	614	786	1192	873	200	546	649	763
DNAJC10	77	118	93	113	156	119	139	151
DNAJC11	512	631	826	697	244	654	777	1036
DNAJC12	494	653	824	667	127	329	289	458
DNAJC13	187	199	359	134	127	298	296	384
DNAJC14	678	929	1103	1043	216	629	787	932
DNAJC15	1	0	1	1	0	0	0	1
DNAJC16	121	145	246	156	30	150	157	199
DNAJC17	101	168	187	159	36	107	134	158
DNAJC18	171	267	305	168	25	115	138	215
DNAJC19	109	139	259	148	28	117	126	232
DNAJC2	133	142	236	169	139	204	160	159
DNAJC21	252	250	346	272	77	224	281	285
DNAJC22	404	613	615	601	132	405	570	618
DNAJC24	84	149	141	181	28	89	103	146
DNAJC25	35	27	26	22	15	34	44	42
DNAJC25-GNG10	1	0	0	0	0	0	0	0
DNAJC27	19	33	41	37	14	23	47	36
DNAJC27-AS1	1	5	9	2	0	0	1	2
DNAJC28	0	0	3	1	0	1	1	1
DNAJC3	249	306	426	313	105	251	310	384
DNAJC3-AS1	8	10	22	9	0	8	8	17
DNAJC30	572	692	864	941	187	445	518	675
DNAJC4	369	563	757	756	118	275	361	394
DNAJC5	1509	1978	2617	2511	479	1091	1542	1806
DNAJC5B	3	0	3	1	0	1	0	0
DNAJC5G	0	0	0	0	1	0	0	0
DNAJC6	26	41	58	32	9	61	68	97
DNAJC7	1118	1303	1766	1376	548	1147	1231	1651
DNAJC8	1236	1584	2094	1688	487	1267	1295	1875
DNAJC9	244	311	428	356	244	710	980	1098
DNAJC9-AS1	28	30	35	29	1	24	23	21
DNAL1	107	88	170	122	18	85	98	105
DNAL4	231	285	426	315	59	153	197	259
DNALI1	0	0	4	0	0	0	0	0
DNASE1	89	76	129	83	17	73	71	107
DNASE1L1	670	891	1134	1002	181	465	547	676
DNASE1L2	4	28	21	16	17	7	15	21
DNASE1L3	0	0	0	1	0	1	0	0
DNASE2	1374	1760	2193	1968	344	879	1187	1498
DNASE2B	0	0	0	0	0	0	0	0
DND1	167	145	267	212	36	140	105	175
DNER	485	621	925	782	145	357	416	602
DNHD1	72	118	194	129	38	79	136	110
DNLZ	253	315	375	394	145	175	206	338
DNM1	1612	2281	2830	2645	730	1731	2302	2672
DNM1L	352	444	555	549	166	559	553	611
DNM1P35	17	18	26	22	1	5	13	7
DNM1P41	0	2	0	0	1	0	0	0
DNM1P46	2	9	0	8	2	0	5	3
DNM2	1199	1705	2271	1890	482	1329	1756	2168
DNM3	4	17	36	12	2	11	6	11
DNM3-IT1	1	0	0	0	0	0	0	0
DNM3OS	0	0	1	1	0	0	0	0
DNMBP	626	715	945	658	174	604	690	937
DNMBP-AS1	1	4	1	1	0	0	2	3
DNMT1	687	1075	1215	1119	764	1904	2504	3072
DNMT3A	190	241	338	265	42	152	204	292
DNMT3B	128	127	172	127	37	173	188	266
DNMT3L	0	0	0	0	0	0	0	0
DNPEP	859	990	1360	1095	228	614	885	1097
DNPH1	583	854	1087	1184	365	541	624	757
DNTT	1	1	0	3	0	3	1	1
DNTTIP1	572	829	924	828	155	410	559	689
DNTTIP2	159	214	258	195	165	202	291	374
DOC2A	71	97	120	166	35	41	59	59
DOC2B	0	2	2	0	0	0	1	1
DOC2GP	0	0	1	0	0	0	0	0
DOCK1	660	883	1089	933	346	987	1047	1328
DOCK10	271	367	498	367	236	608	646	746
DOCK11	12	8	12	10	15	20	14	20
DOCK2	72	73	111	84	35	95	138	135
DOCK3	82	105	96	91	29	62	45	84
DOCK4	89	82	118	70	31	134	116	161
DOCK4-AS1	0	0	0	0	0	0	0	0
DOCK5	456	727	1011	674	200	667	739	1001
DOCK6	275	367	469	402	70	149	210	279
DOCK7	47	68	111	82	24	97	167	117
DOCK8	46	41	60	36	4	15	17	25
DOCK9	212	300	318	217	83	233	274	373
DOCK9-AS1	0	0	0	0	0	0	0	0
DOCK9-AS2	15	18	29	22	2	5	11	10
DOHH	199	305	397	419	122	244	289	353
DOK1	100	140	152	119	64	66	105	162
DOK2	1	0	1	0	0	0	0	0
DOK3	41	80	48	65	2	46	64	33
DOK4	563	906	1048	876	218	500	551	756
DOK5	2	3	5	2	2	0	1	1
DOK6	1	0	3	4	0	0	0	0
DOK7	5	2	2	0	0	0	0	0
DOLK	712	903	1116	944	183	547	750	977
DOLPP1	346	438	543	467	150	358	477	613
DONSON	30	63	94	43	63	118	158	181
DOPEY1	8	21	16	8	4	20	19	21
DOPEY2	136	227	269	148	39	141	163	179
DOT1L	189	267	364	319	113	217	353	476
DPAGT1	732	762	1160	796	210	742	827	1010
DPCD	278	322	378	361	119	295	346	401
DPCR1	0	0	0	0	0	0	0	0
DPEP1	2	3	2	10	0	0	2	3
DPEP2	1	0	0	1	0	0	0	0
DPEP3	1	0	0	0	0	0	0	0
DPF1	47	70	96	111	28	89	112	118
DPF2	982	1239	1672	1237	309	861	1145	1511
DPF3	5	1	6	5	0	2	0	3
DPH1	406	593	800	732	131	399	487	606
DPH2	390	600	666	636	141	390	540	731
DPH3	231	301	372	296	81	220	224	330
DPH3P1	16	5	16	12	4	4	6	11
DPH5	136	186	271	176	63	195	173	185
DPH6	14	9	20	21	5	25	11	28
DPH6-AS1	0	0	0	1	0	0	2	0
DPH7	255	304	407	344	73	247	309	406
DPM1	148	167	207	135	59	159	247	242
DPM2	681	837	1110	1071	214	607	732	964
DPM3	456	743	931	967	217	370	456	619
DPP10	0	0	0	0	0	0	0	0
DPP10-AS1	0	0	0	0	0	0	0	0
DPP10-AS3	0	0	0	0	0	0	0	0
DPP3	1271	1752	2304	2181	578	1238	1661	1956
DPP4	11	16	21	14	1	18	16	12
DPP6	2	2	4	3	2	0	4	2
DPP7	2458	3432	5214	4804	712	1139	1629	1968
DPP8	34	70	65	51	51	56	81	59
DPP9	1769	2605	3476	2966	789	1973	2355	2934
DPP9-AS1	21	12	24	22	2	12	6	21
DPPA2	0	0	0	0	0	0	0	1
DPPA2P3	0	0	0	4	0	0	0	0
DPPA3	0	0	0	0	0	1	0	0
DPPA4	0	0	0	0	0	1	0	0
DPPA5	0	0	0	0	0	0	0	0
DPRX	0	14	0	0	0	1	0	0
DPRXP4	3	1	0	2	0	7	2	0
DPT	0	0	0	2	0	0	0	0
DPY19L1	647	833	929	787	230	700	895	1020
DPY19L1P1	18	14	15	27	14	13	21	22
DPY19L1P2	4	16	12	12	2	6	10	33
DPY19L2	3	13	15	18	1	8	13	20
DPY19L2P1	3	5	0	5	0	7	10	1
DPY19L2P2	17	25	42	18	13	22	35	34
DPY19L2P3	0	0	0	4	0	0	0	0
DPY19L2P4	0	0	0	0	0	0	2	0
DPY19L3	117	169	197	143	36	166	162	208
DPY19L4	68	128	145	153	36	79	91	162
DPY30	239	281	373	330	97	253	264	360
DPYD	22	27	23	15	23	15	39	41
DPYD-AS1	0	0	0	0	0	0	0	1
DPYD-AS2	0	0	0	0	0	0	0	0
DPYS	0	0	1	0	0	0	0	0
DPYSL2	1047	1475	1864	1397	467	1469	1616	2197
DPYSL3	962	1272	1704	1310	490	1483	1629	2233
DPYSL4	999	1326	1958	1692	128	299	323	420
DPYSL5	215	303	315	305	94	234	322	395
DQX1	8	24	22	21	0	0	0	2
DR1	166	198	327	225	88	234	301	355
DRAIC	0	5	4	0	0	0	0	0
DRAM1	1682	2125	2753	2080	259	773	819	1029
DRAM2	63	55	70	34	13	40	60	84
DRAP1	1803	2508	3021	3268	1114	1875	2227	2802
DRAXIN	24	60	71	66	0	7	0	1
DRC1	1	2	6	1	0	0	2	0
DRC3	11	13	34	13	1	6	15	8
DRC7	4	7	4	0	0	2	2	1
DRD1	17	11	16	14	0	3	4	9
DRD2	0	0	1	0	0	0	1	1
DRD3	0	0	0	0	0	0	0	0
DRD4	1	6	1	6	1	1	1	4
DRD5	0	0	1	0	0	0	0	0
DRD5P2	0	0	0	0	0	0	0	0
DRG1	432	572	636	504	335	533	651	899
DRG2	1031	1458	1927	1716	322	821	1070	1349
DRGX	0	0	0	0	0	0	0	0
DRICH1	0	1	2	5	4	0	0	0
DROSHA	563	878	1017	724	339	1043	1258	1528
DRP2	7	1	3	1	1	3	7	8
DSC1	0	0	0	0	0	0	0	0
DSC2	13	16	11	14	2	17	4	13
DSC3	49	53	107	46	13	17	16	43
DSCAM	0	0	0	0	0	0	0	1
DSCAM-AS1	0	0	0	0	0	0	0	0
DSCAM-IT1	0	0	0	0	0	0	4	0
DSCAML1	6	0	3	7	0	0	1	0
DSCAS	0	0	0	0	0	0	1	0
DSCC1	2	1	11	1	22	44	37	56
DSCR10	0	0	0	0	0	0	0	0
DSCR3	146	182	338	166	57	296	347	458
DSCR4	0	0	0	0	0	0	0	0
DSCR8	1	0	0	0	0	0	0	0
DSCR9	1	8	10	7	1	4	9	1
DSE	394	514	687	488	115	387	471	601
DSEL	52	56	72	56	4	33	47	50
DSG1	0	0	0	0	0	1	0	0
DSG1-AS1	0	0	0	0	0	0	0	0
DSG2	650	964	1142	896	300	816	1020	1333
DSG2-AS1	0	0	1	1	0	4	4	0
